dent,dirt,filename,scratch
0,0,images-68-_jpeg.rf.bc906d7b0e269c50c27c123072493e47.jpg,1
1,0,7074967eb280-scratch-removers-vs-compound-use-ba6f8a_jpg.rf.c2ca2f8accd8e44a8e6cc4dd8f337f21.jpg,0
1,0,images-2025-01-31T150750_048_jpeg.rf.2e4427b5f3ed4d33e2b43b573bf83d17.jpg,0
0,0,download-12-_jpeg.rf.170b1e1715ae80a1ba7bb7d7d50ba0ff.jpg,1
0,0,360_F_581432478_meClq6LpqMT4sGMhi58J1t4Rc3xSk593_jpg.rf.02fa37f21ecd0ce2e731a8e3eb86bb0d.jpg,1
1,0,images-2025-01-31T150752_139_jpeg.rf.f17549e8ae9c3fec448fba124f787e8a.jpg,0
0,0,images-38-_jpeg.rf.dfb36fcc3194d1303cba4a0a179df5b3.jpg,1
0,0,Car-Scratch-Repair-Blog-1024x512_jpg.rf.2e38b7a534a88a188985604b21122cfb.jpg,1
1,0,car-dent-after-traffic-accident-600nw-2300439731_jpg.rf.50a6dfae7035d8b7b9ea796265f8d32f.jpg,0
0,0,images-71-_jpeg.rf.fbd4feea357bf5a863ee8caaa38c1ed3.jpg,1
1,0,images-2025-01-31T150751_107_jpeg.rf.925c2f3118eb3571280fe9a6755d3f7c.jpg,0
1,0,images-2025-01-31T150752_197_jpeg.rf.c2d393428c169a823526b4a4d0f6449c.jpg,0
1,0,door-red-car-damaged-in-a-deep-dent-accident-scratches-on-the-doors-car-repair-concept-2bk70wb_jpg.rf.9aa958a2250728fb77f8c82fcdf37e6e.jpg,0
0,0,images-78-_jpeg.rf.da40482d6cf29363eb30401bcf2b9fe9.jpg,1
0,0,images-85-_jpeg.rf.3849722e4723fff146a7d9e42e2c780c.jpg,1
1,0,images-2025-01-31T150750_888_jpeg.rf.6c76fc30c48494080e0ad7345583ab57.jpg,1
0,0,scratched-grazed-car-door-side-600nw-2471808591_jpg.rf.97c33262b6d5eadc13386f205fd38667.jpg,1
1,0,images-2025-01-31T150751_636_jpeg.rf.58e5eee074fc14b916f44530b94c611c.jpg,0
1,0,car-scratch-red-silver-door-exterior-58848100_jpg.rf.f9bfcaa963fa90c37d9decb8e4918560.jpg,1
0,0,car-does-car-insurance-cover-scratches-and-dents-featured_jpg.rf.217747d3c346c9ee7b894f47ed5ec8c4.jpg,1
0,0,scratched-car-door-and-fender-after-an-accident-close-up-car-body-damage-scratches-and-blow-in-the-side-of-the-gray-car-2C4WKXM_jpg.rf.a051c0728bac2f9aae4d6c0b2de2e20f.jpg,1
0,0,Audi-Scratched-1024x1024_jpg.rf.0cd580edbdc54817a7be64e39988a466.jpg,1
0,0,images-2025-01-29T222650_382_jpeg.rf.26dfc36a2f8bf7d515a56a03a30a949d.jpg,1
1,0,images-2025-01-29T222650_029_jpeg.rf.c4836fa1ea7ace40de0cfc2e478ecbf2.jpg,1
1,0,car-dent_png.rf.32ca71016a4381856ae2cd378abaae1d.jpg,0
1,0,car-dents_jpg.rf.2ae953e1cf9fd21c1cad430b9c89cfbd.jpg,1
0,0,download-14-_jpeg.rf.aa7626caddd18dc116f1b0be5525695b.jpg,1
1,0,7034d9d9faf34c0287604574b23309c6-copy-_jpeg.rf.9162f682bfde875a8fbff449368f470a.jpg,0
0,0,images-99-_jpeg.rf.b3f98d02933ea3e316ae10ce4910bff8.jpg,1
0,1,images-95-_jpeg.rf.d1bd2f5f79c9bb9ac11c7736fe69854f.jpg,0
1,0,images-2025-01-31T150751_408_jpeg.rf.6e69eef42c0613e73b37201bec26249f.jpg,0
0,0,images-2025-01-31T150752_757_jpeg.rf.f665781a76a88b5e45d4d013c80f4e47.jpg,1
0,0,images-2025-01-29T155254_652_jpeg.rf.abeb6698570e19141ddd48fab3d9e4da.jpg,1
0,0,images-70-_jpeg.rf.ca47c88408ede05eb69b3e0b3909fe03.jpg,1
1,0,253464_jpg.rf.b65d1ca1f7f51bc4bfa9f99e1c371168.jpg,1
0,0,a-scratched-car-hood-deep-hood-scratch-picture-id1291982445_jpg.rf.c8b68168965d19476b021aff3fbe9907.jpg,1
1,0,panel-damage-a-bad-dent-in-a-body-panel-on-a-ford-focus-car-DGENB1_jpg.rf.4c2dfb3c1b70688a20d5f6c4124ad608.jpg,0
1,0,scratches-on-gray-grey-or-bronze-car-after-accident-damaged-on-right-front-bumper-near-wheel-insurance-and-injury-of-vehicle-concept-free-photo_jpg.rf.29da0e2254cf8cd9241a26c96e1c4287.jpg,1
0,0,images-2025-01-31T150751_371_jpeg.rf.c56241a7c3e5bd97ff6179b7e860cb31.jpg,1
0,0,images-2025-01-29T222651_256_jpeg.rf.b2e3c7a014d8c06916e9b32671a304bf.jpg,1
1,0,1000_F_243575534_sfNeMEBwJobpdMSkU2Pg4vAiOskH0Ddj_jpg.rf.5e999d5c5d756940991cf91e75195e77.jpg,1
0,0,download-13-_jpeg.rf.aa78fa5c6efb2af47609c7c874387de3.jpg,1
1,0,images-2025-01-31T150751_774_jpeg.rf.0774003940e1140762848da8e384dd2a.jpg,0
1,0,images-2025-01-31T150751_304_jpeg.rf.fd1da6c0db03cf36103ae3a383ab7509.jpg,1
0,0,scratched-car-paint-door-handle-260nw-219485290_jpg.rf.a1dfa1a7320798187a42390c2b36e93b.jpg,1
1,0,images-2025-01-31T150750_389_jpeg.rf.3b8f020f0a3fcbc4b738174727f9a6fd.jpg,0
1,0,Removing-dents-from-metal_jpeg.rf.734e2a08d2116aa00b554afcad10d738.jpg,0
0,0,Car-Scratches_2-scaled-e1630974700194_jpg.rf.0f855a124916e2b34c9112d55290315c.jpg,1
1,0,images-2025-01-31T150751_471_jpeg.rf.5dafc052ed17aabbf7fe2841490bf07c.jpg,0
0,0,images-2025-01-29T222650_416_jpeg.rf.f073e7de575a1443da60d61940f8ae9a.jpg,1
1,0,images-2025-01-31T150751_338_jpeg.rf.562b1c4792f6bcd406e0e25f6ea67b52.jpg,0
1,0,images-2025-01-31T150751_155_jpeg.rf.ae03e42a05127396ad318835e06f954a.jpg,0
0,0,UNdXm_jpg.rf.1c47585164e7850f12f3a23a49e58bc4.jpg,1
1,0,images-2025-01-31T150751_597_jpeg.rf.44c85448a9aa4b1495b5add7b6f26f4a.jpg,1
1,0,images-23-_jpeg.rf.51b77805c95f4b7f6bf9ee1cdf698d7d.jpg,0
1,0,big-dent-on-car-F3XMC7_jpg.rf.d73a92853d3c0a8814427df3e4394014.jpg,1
1,0,images-2025-01-31T150752_185_jpeg.rf.1642128cf9ca2a298973a57576adaa7b.jpg,0
0,0,car-body-scratches_jpg.rf.df38b6195f6ee2f6053456b6fe9e0371.jpg,1
1,0,car-dent_jpg.rf.e0bd86c9b4398193a0291c55a0bf9703.jpg,0
1,0,images-2025-01-31T150751_182_jpeg.rf.0fbce2e1aed42e4472f44b973d3718d5.jpg,1
0,0,blog_8-3_grande_jpg.rf.cbc3ba35ebad9b7d58b8e8d7976416a1.jpg,1
1,0,images-2025-01-31T150750_303_jpeg.rf.9daa91adca86aebbf6fb5713e99404f8.jpg,0
0,0,images-2025-01-29T222649_919_jpeg.rf.227da84a51b4d19571ce6732fd1d42a4.jpg,1
0,0,download-9-_jpeg.rf.d97143c6be76d9ad78d3288822a4232e.jpg,1
0,0,images-2025-01-29T155253_686_jpeg.rf.2090aa97b4853256b23397042eb2f9c5.jpg,1
0,0,images-2025-01-29T222650_405_jpeg.rf.d60c9572c993a677842a7384c1270f64.jpg,1
0,0,images-69-_jpeg.rf.290da4bc99a30b1f14e73ed3b37b14e6.jpg,1
1,0,images-96-_jpeg.rf.b8d86244b040ca5dfb204f2286efe266.jpg,0
0,0,Untitled-design-2023-05-09T161540_828-1_png.rf.7dc0164b123fb4544400fc59353f354f.jpg,1
0,0,broken-scratched-rear-fender-car-600nw-2458316165_jpg.rf.44b493210567e9b72b3aa854fcc12956.jpg,1
1,0,images-2025-01-31T150752_113_jpeg.rf.61cb81a49ce2e7897428d47c8bb9d350.jpg,0
1,0,images-2025-01-31T150751_561_jpeg.rf.9ab03ac3f939dbdc7a5b9577dfd32044.jpg,0
0,0,7p4p1hie7oa01_jpg.rf.34e71121ec774b633a767b4efa29c872.jpg,1
1,0,images-2025-01-31T150750_406_jpeg.rf.111a14432f7a8312244db93166673c21.jpg,0
1,0,images-2025-01-31T150750_109_jpeg.rf.e04c8474f596f57e14b1d1e65dc9abbd.jpg,0
1,0,images-2025-01-31T150751_577_jpeg.rf.8b8d8b011168e0eb9a980ae6be80caab.jpg,0
1,0,images-2025-01-31T150751_979_jpeg.rf.48d29481f99896ce65d2a098efb15225.jpg,0
1,0,images-2025-01-31T150750_068_jpeg.rf.44647c4ac574ec5cf80a2a51079a9016.jpg,0
1,0,car-scratch-repair-1024x356_jpg.rf.742493524fdbefaf104a18301eda7de6.jpg,1
0,0,1mismu4dqbo21_jpg.rf.624af684256b799fb6194e51c8bfc754.jpg,1
0,0,21-min-1-_jpg.rf.9fcdf9f08bd693da6b857016b920d85f.jpg,1
1,0,door-red-car-damaged-in-a-deep-dent-accident-scra-2021-09-24-20-25-34-utc-1-1080x675_jpg.rf.55d02f10cceedfce7edb8638b9bbe86a.jpg,1
1,0,images-2025-01-31T150750_833_jpeg.rf.3b8e8a079213d42e0ee9f0357d403934.jpg,0
0,0,car-scratched-bumper-paint-dented-260nw-2447180107_jpg.rf.a6dfc7ea04251b6ad4040a1ea63d41e1.jpg,1
1,0,car-scratch-1024x683_jpeg.rf.967beab82d79f966af663e5868b40ddb.jpg,1
0,0,images-2025-01-31T150750_617_jpeg.rf.e8becd83eadc91a184ea02964b6536f3.jpg,1
0,0,images-2025-01-29T222650_468_jpeg.rf.fad77c6d315b397768026ad30feee465.jpg,1
0,0,images-2025-01-29T222650_333_jpeg.rf.3e4c834fd7b3cc40bd1c59f7b95a8c4c.jpg,1
1,0,images-2025-01-31T150751_035_jpeg.rf.ea179d69497394a758efd61b50e40d48.jpg,0
0,0,download-7-_jpeg.rf.99cd9c196daf234d679ae71bc858365a.jpg,1
1,0,images-2025-01-31T150751_608_jpeg.rf.5e8219eb5307c6de7ad285c4e57196f6.jpg,0
0,0,Best-Paint-Scratch-Remover-spray_jpg.rf.a0541b5a5b2db458d1287b8cf5c870f0.jpg,1
1,0,download-10-_jpeg.rf.f6fb4c3dff94fc145a141242e55e38aa.jpg,0
0,0,back-of-car-has-scratches-photo_jpg.rf.dfecd2640064a3c13b1ca5476ec03767.jpg,1
1,0,dents-on-the-car-2022-01-31-06-17-20-utc-1_jpg.rf.dc33dcbb3d7def11fefc6fc6308165b9.jpg,1
0,0,36983147-scratched-car-paint-with-door_jpg.rf.bca044de7a9b3a0ab604a85d4ddd6899.jpg,1
1,0,images-84-_jpeg.rf.a39935cd30ab5ddc9358ccc4cc654bb1.jpg,0
1,0,images-2025-01-31T150750_348_jpeg.rf.bb7fcb6b98df167ffe3b8b2c5c73d262.jpg,0
1,0,images-2025-01-31T150751_390_jpeg.rf.e9c45f98b844cfc5e3c240953473ade6.jpg,0
0,0,c6yz2tswpicc1_jpeg.rf.65de8f893d180d360e60f6b737174ec1.jpg,1
1,0,xd8x131p94ja1_jpg.rf.1117eacfd8b8c1a4d6e19498c898e839.jpg,1
1,0,crashed_car_door_jpg.rf.734fddb63764f6f7da65fb4317a94cad.jpg,1
1,0,car-dent-after-traffic-accident-600nw-2292803255_jpg.rf.0c8435aa080db44f01caa69061da396a.jpg,0
0,0,download-15-_jpeg.rf.7659b02ef40ab1cc4dfa0f181d8cee10.jpg,1
0,0,images-2025-01-29T222650_448_jpeg.rf.911c4bed70394cf7380511b57eff0ee9.jpg,1
1,0,images-13-_jpeg.rf.e0994323d1c759262020f3fd22b2cdaa.jpg,0
1,0,7034d9d9faf34c0287604574b23309c6-copy-_jpeg.rf.dd98298ccfceb5430101bce62089631b.jpg,0
1,0,car-dents_jpg.rf.f277c8b08ec8997bba7af2488812c78d.jpg,1
